"nu","bowlingDeliveries","bowlingDots","bowlingFours","bowlingRuns","bowlingSingles","bowlingSixes","dotBalls","fours","playerId","runs","singles","sixes","strikeRate","wickets"
"1","25","11","1","23","11","1","6","2","1","12","4","0","1","3"
"2","0","0","0","0","0","0","17","10","3","169","26","13","2.1948051948051948","0"
"3","0","0","0","0","0","0","8","2","6","24","8","1","1.2","0"
"4","0","0","0","0","0","0","4","1","9","12","6","0","1","0"
"5","0","0","0","0","0","0","1","1","11","5","1","0","1.6666666666666667","0"
"6","0","0","0","0","0","0","1","0","12","2","2","0","0.6666666666666666","0"
"7","0","0","0","0","0","0","11","0","14","8","6","0","0.4444444444444444","0"
"8","0","0","0","0","0","0","3","1","16","5","1","0","1","0"
"9","25","8","6","52","6","3","3","0","7","9","3","1","1.2857142857142858","1"
"10","7","0","2","24","2","2","5","0","10","6","4","0","0.6","0"
"11","0","0","0","0","0","0","5","1","18","10","4","0","0.9090909090909091","0"
"12","0","0","0","0","0","0","2","0","19","0","0","0","0","0"
"13","25","6","2","41","12","2","4","1","5","11","7","0","0.9166666666666666","1"
"14","25","10","3","41","7","3","8","1","2","23","5","2","1.3529411764705883","0"
"15","24","8","3","38","8","2","5","0","4","3","3","0","0.375","1"
"16","18","4","0","26","10","2","3","0","8","5","5","0","0.625","0"
"17","0","0","0","0","0","0","5","3","21","16","2","0","1.4545454545454546","0"
"18","0","0","0","0","0","0","8","3","23","27","4","1","1.588235294117647","0"
"19","0","0","0","0","0","0","12","8","25","117","19","9","2.1666666666666665","0"
"20","0","0","0","0","0","0","1","0","28","2","2","0","0.6666666666666666","0"
"21","0","0","0","0","0","0","3","2","29","33","5","3","2.357142857142857","0"
"22","24","6","6","37","11","0","3","0","33","14","6","1","1.2727272727272727","0"
"23","0","0","0","0","0","0","2","3","34","31","7","2","2.2142857142857144","0"
"24","12","2","1","25","5","2","7","2","30","25","9","1","1.25","0"
"25","24","7","2","54","8","6","7","10","26","72","14","3","2.1176470588235294","1"
"26","0","0","0","0","0","0","3","5","36","60","22","2","1.7142857142857142","0"
"27","0","0","0","0","0","0","3","1","40","23","7","2","1.7692307692307692","0"
"28","0","0","0","0","0","0","1","0","41","24","12","1","1.411764705882353","0"
"29","24","6","4","47","9","3","2","0","27","3","3","0","0.6","2"
"30","0","0","0","0","0","0","10","0","42","8","2","1","0.6153846153846154","0"
"31","14","4","2","17","7","0","1","2","44","10","2","0","2","0"
"32","25","9","5","31","11","0","6","4","46","21","5","0","1.4","1"
"33","0","0","0","0","0","0","9","0","47","11","9","0","0.5789473684210527","0"
"34","0","0","0","0","0","0","1","0","50","1","1","0","0.5","0"
"35","0","0","0","0","0","0","8","2","51","33","11","2","1.375","0"
"36","0","0","0","0","0","0","2","0","52","2","2","0","0.5","0"
"37","7","0","0","11","6","0","7","4","54","26","8","0","1.3","0"
"38","12","2","2","16","8","0","6","2","55","14","4","0","1.0769230769230769","0"
"39","21","6","5","32","8","0","4","0","56","3","3","0","0.42857142857142855","0"
"40","0","0","0","0","0","0","15","7","57","61","25","1","1.2448979591836735","0"
"41","0","0","0","0","0","0","15","8","60","59","18","0","1.3409090909090908","0"
"42","0","0","0","0","0","0","8","2","61","8","0","0","0.8","0"
"43","24","3","2","39","15","2","7","5","62","30","4","1","1.7647058823529411","1"
"44","0","0","0","0","0","0","4","1","63","5","1","0","0.8333333333333334","0"
"45","0","0","0","0","0","0","12","5","64","49","17","1","1.2894736842105263","0"
"46","0","0","0","0","0","0","9","2","65","21","11","0","0.9130434782608695","0"
"47","6","2","2","10","2","0","2","1","67","22","10","1","1.4666666666666666","0"
"48","24","10","1","17","13","0","3","3","68","28","4","2","2.3333333333333335","0"
"49","25","6","2","36","14","2","0","0","69","2","2","0","1","2"
"50","0","0","0","0","0","0","4","3","70","17","5","0","1.4166666666666667","0"
"51","0","0","0","0","0","0","15","4","12","32","12","0","0.9696969696969697","0"
"52","0","0","0","0","0","0","2","1","73","24","8","2","1.8461538461538463","0"
"53","20","2","7","44","10","1","4","0","7","25","19","1","1.0416666666666667","0"
"54","0","0","0","0","0","0","5","3","16","24","6","1","1.6","0"
"55","0","0","0","0","0","0","3","4","18","40","10","2","2","0"
"56","18","6","2","19","9","0","3","0","19","4","2","0","0.6666666666666666","2"
"57","0","0","0","0","0","0","11","1","74","26","10","2","1.0833333333333333","0"
"58","0","0","0","0","0","0","6","1","75","16","5","0","1.1428571428571428","0"
"59","0","0","0","0","0","0","6","0","76","0","0","0","0","0"
"60","15","3","1","24","9","1","23","2","77","35","13","2","0.8536585365853658","0"
"61","0","0","0","0","0","0","3","0","79","0","0","0","0","0"
"62","25","14","1","20","8","1","3","1","80","7","3","0","1","0"
"63","0","0","0","0","0","0","4","0","81","11","5","1","1.1","0"
"64","20","13","1","19","4","1","4","1","82","14","4","1","1.4","0"
"65","18","11","1","10","6","0","1","0","83","0","0","0","0","2"
"66","18","9","3","19","5","0","1","0","84","1","1","0","0.5","1"
"67","0","0","0","0","0","0","18","1","1","29","13","0","0.8285714285714286","0"
"68","19","7","1","35","7","4","21","2","9","45","19","3","1","1"
"69","25","14","0","11","11","0","7","1","11","14","4","1","1.0769230769230769","1"
"70","0","0","0","0","0","0","1","0","20","5","5","0","0.8333333333333334","0"
"71","0","0","0","0","0","0","14","3","30","26","2","2","1.2380952380952381","0"
"72","25","10","2","34","8","2","9","2","26","16","3","0","1","1"
"73","0","0","0","0","0","0","2","3","36","20","2","1","2.5","0"
"74","0","0","0","0","0","0","2","0","87","3","3","0","0.6","0"
"75","0","0","0","0","0","0","10","6","40","59","15","3","1.6857142857142857","0"
"76","26","11","2","21","13","0","12","0","27","12","6","1","0.631578947368421","1"
"77","0","0","0","0","0","0","1","0","89","4","2","0","1","0"
"78","26","12","5","36","6","1","2","0","22","0","0","0","0","1"
"79","12","4","3","27","3","2","2","4","31","25","1","0","2.272727272727273","0"
"80","6","1","0","12","2","1","0","0","32","1","1","0","1","0"
"81","0","0","0","0","0","0","5","1","47","6","2","0","0.75","0"
"82","6","3","0","13","1","2","2","1","44","8","2","0","1.3333333333333333","0"
"83","0","0","0","0","0","0","5","1","90","17","2","1","1.7","0"
"84","25","12","8","39","3","0","18","5","46","79","17","5","1.5490196078431373","0"
"85","0","0","0","0","0","0","10","5","51","39","9","1","1.4444444444444444","0"
"86","0","0","0","0","0","0","6","0","74","9","1","1","1","0"
"87","0","0","0","0","0","0","16","2","75","14","2","0","0.6363636363636364","0"
"88","0","0","0","0","0","0","4","0","76","2","2","0","0.3333333333333333","0"
"89","12","4","4","35","1","3","8","2","77","12","2","0","0.9230769230769231","0"
"90","0","0","0","0","0","0","10","6","79","67","15","4","1.8108108108108107","0"
"91","12","3","0","17","5","1","5","0","93","2","2","0","0.2857142857142857","0"
"92","13","3","3","30","4","2","5","0","82","9","9","0","0.6428571428571429","0"
"93","0","0","0","0","0","0","2","2","81","12","2","0","1.7142857142857142","0"
"94","19","7","3","22","8","0","0","0","83","14","3","0","2.3333333333333335","0"
"95","19","7","5","27","7","0","0","0","84","1","1","0","1","1"
"96","0","0","0","0","0","0","8","10","59","102","15","6","2.372093023255814","0"
"97","0","0","0","0","0","0","15","3","60","29","9","0","0.9354838709677419","0"
"98","0","0","0","0","0","0","7","3","21","15","1","0","1.25","0"
"99","0","0","0","0","0","0","9","12","23","89","22","2","1.8936170212765957","0"
"100","0","0","0","0","0","0","7","1","25","5","1","0","0.5555555555555556","0"
"101","0","0","0","0","0","0","10","3","29","60","19","3","1.5384615384615385","0"
"102","0","0","0","0","0","0","4","4","28","32","6","1","1.8823529411764706","0"
"103","26","7","6","53","9","3","0","1","33","5","1","0","2.5","1"
"104","0","0","0","0","0","0","0","0","34","2","0","0","2","0"
"105","0","0","0","0","0","0","15","7","64","49","11","1","1.3611111111111112","0"
"106","0","0","0","0","0","0","4","4","62","21","3","0","1.75","0"
"107","19","7","6","36","4","1","3","0","68","20","14","1","1.1111111111111112","0"
"108","19","3","5","37","9","1","5","2","94","25","8","1","1.4705882352941178","0"
"109","6","2","0","14","2","2","2","6","67","46","9","1","2.3","0"
"110","18","3","2","30","8","1","2","0","96","9","1","1","1.8","2"
"111","12","2","0","15","9","1","5","1","69","28","4","3","2","0"
"112","27","12","5","35","8","0","1","0","71","1","1","0","0.5","2"
"113","0","0","0","0","0","0","5","3","74","13","1","0","1.4444444444444444","0"
"114","0","0","0","0","0","0","9","3","76","16","4","0","1","0"
"115","25","9","2","28","12","1","2","1","93","10","0","1","2.5","3"
"116","17","2","2","47","7","5","8","11","77","122","27","7","2.1403508771929824","0"
