"dataId","dotsInDo","dotsInMO","dotsInPP","foursInPP","highIndvRuns","highIndvWickets","numOfBowledDel","numOfCaughtDel","numOfDots","numOfFifties","numOfFours","numOfRunOutDel","numOfSixes","numOfStumpedDel","numOfThirties","runRate","runsInDO","runsInMO","runsPowerPlay","sixesInPP","totalRuns","totalWickets","wicketsPowerPlay","result"
"1","7","12","17","7","170","2","0","3","36","1","16","0","14","0","1","11.1","68","93","61","3","222","3","0","1"
"2","1","28","21","1","24","4","3","6","50","0","4","1","3","0","0","5.3478260869565215","1","55","26","1","82","10","0","0"
"3","4","11","19","8","117","3","2","2","34","1","19","0","16","0","3","12","79","108","53","1","240","5","0","1"
"4","4","7","12","7","73","2","0","4","23","2","18","0","9","0","2","10.35","42","102","63","3","207","4","0","0"
"5","14","20","20","6","34","4","3","2","54","0","14","2","3","0","1","6.45","33","56","40","1","129","8","0","0"
"6","0","13","18","10","62","2","1","0","31","2","18","0","1","0","2","8.703296703296704","0","73","55","1","132","1","0","1"
"7","5","19","21","8","48","5","1","3","45","0","19","1","5","1","2","8.25","60","58","47","1","165","7","0","0"
"8","6","15","15","6","41","3","1","4","36","0","15","0","6","0","2","8.369747899159664","48","78","40","0","166","5","0","1"
"9","10","31","21","2","36","5","1","8","62","0","6","1","6","0","1","5.892857142857142","33","38","39","2","110","10","0","0"
"10","9","32","20","3","46","3","1","3","61","0","7","0","4","0","2","5.894736842105263","31","55","26","0","112","5","0","1"
"11","12","21","21","8","56","4","3","1","54","1","18","1","7","1","1","8.3","51","61","54","3","166","8","0","0"
"12","6","20","21","5","78","2","1","2","47","1","16","0","7","0","2","9.247706422018348","26","89","53","2","168","4","0","1"
"13","7","23","26","2","64","3","2","4","56","1","12","1","5","0","1","7.1","69","48","25","1","142","8","0","0"
"14","0","12","14","8","102","2","0","1","26","1","15","0","6","0","2","10.860759493670887","0","94","48","0","143","1","0","1"
"15","6","12","19","9","90","3","1","3","37","2","24","1","6","0","3","10.4","65","90","53","1","208","5","0","1"
"16","8","14","16","8","46","3","2","4","38","0","20","1","8","0","2","10.1","68","82","52","1","202","7","0","0"
"17","6","12","19","11","122","3","1","3","37","1","24","0","9","1","2","10.7","66","90","58","1","214","5","0","0"
"18","6","14","14","8","74","4","2","4","34","2","18","1","14","0","3","10.941176470588236","58","86","73","5","217","7","0","1"
"19","12","13","15","8","97","5","0","7","40","1","18","2","5","0","1","9.1","44","78","60","1","182","10","0","1"
"20","24","25","20","5","24","3","3","3","69","0","12","1","4","0","0","5.8","15","62","39","1","116","9","0","0"
"21","13","32","19","8","47","4","0","6","64","0","12","2","7","0","2","6.75","40","38","57","3","135","8","0","0"
"22","8","20","16","8","64","2","0","3","44","2","22","0","2","0","2","8.03883495145631","17","76","45","0","138","3","0","1"
"23","7","25","17","8","46","4","2","6","49","0","14","1","4","0","1","7.35","43","43","61","3","147","9","0","0"
"24","1","12","21","7","81","2","0","1","34","1","12","0","5","0","3","8.941176470588236","31","76","45","0","152","1","0","1"
"25","6","17","26","4","36","3","1","6","49","0","14","0","5","0","3","7.7","55","72","27","0","154","7","0","0"
"26","0","6","15","9","117","1","0","0","21","1","14","0","11","0","2","12.916666666666666","0","94","60","2","155","0","0","1"
"27","4","21","14","7","43","4","2","4","39","0","18","1","2","0","1","7.9","51","62","45","0","158","8","0","0"
"28","9","22","15","10","81","3","1","3","46","1","19","1","3","0","2","8.307692307692308","39","68","55","0","162","6","0","1"
"29","7","18","18","5","65","4","1","3","43","1","17","1","8","0","2","8.9","76","66","36","0","178","5","0","1"
"30","7","11","17","4","54","4","2","5","35","2","14","2","5","0","2","8.389830508474576","33","87","45","2","165","10","0","0"
"31","5","28","20","6","40","5","0","6","53","0","16","1","3","0","2","6.85","50","47","40","1","137","8","0","0"
"32","7","18","27","7","67","2","2","1","52","1","18","0","2","0","2","7.392857142857142","28","72","38","1","138","3","0","1"
"33","7","11","13","9","88","3","2","2","31","2","21","1","5","0","2","9.55","40","93","58","1","191","5","0","1"
"34","7","12","13","5","61","5","1","4","32","1","17","0","7","0","4","9.05","47","79","55","3","181","5","0","0"
"35","9","18","13","7","77","5","2","5","40","2","19","1","3","0","2","8.2","53","61","50","0","164","8","0","0"
